Population,Income,City,State
88871,61111,Nashua,NH
87994,45331,Champaign,IL
88641,78923,Newton,MA
88542,49439,Reading,PA
87720,37120,Fort Smith,AR
87202,44096,Ogden,UT
82229,51093,Fort Myers,FL
84817,40498,Bryan,TX
85517,51723,Hoover,AL
85139,49236,Bloomington,IL
85856,46004,Duluth,MN
84211,58696,Santa Fe,NM
82696,44548,Kennewick,WA
83958,26615,Mission,TX
84111,58443,Troy,NY
83113,39018,Merced,CA
83604,69080,Trenton,NJ
81027,58779,Franklin,TN
82333,46661,Medford,OR
82603,45959,Melbourne,FL
82380,51212,Sioux City,IA
81309,40394,Lynchburg,VA
81191,41805,Longview,TX
81789,38378,Auburn,AL
78842,56502,Folsom,CA
80907,66909,Springdale,AR
80966,54230,Warwick,RI
74275,59638,Georgetown,TX
76165,41661,Temple,TX
78266,48547,Lake Charles,LA
77234,36515,Jonesboro,AR
78946,72043,Napa,CA
76365,41896,Warner Robins,GA
76170,50137,Rapid City,SD
76885,52295,Gastonia,NC
77075,49710,Racine,WI
77017,45993,Scranton,PA
76483,48279,Kalamazoo,MI
75742,53538,Bethlehem,PA
75877,37713,Hammond,LA
74882,49798,Missoula,MT
75696,54803,Iowa City,IA
73762,48870,Flagstaff,AZ
75604,38418,St. Joseph,MO
74378,51042,Appleton,WI
73725,64228,Camden,PA
73229,56743,Bismarck,ND
73751,43717,Kissimmee,FL
70796,39393,Mansfield,OH
72453,57034,Waukesha,WI
71771,36827,Gulfport,MS
71030,49684,Weston,WI
71136,38894,Decatur,AL
68438,57104,North Port,FL
68633,36186,Bowling Green,KY
70752,44670,Canton,OH
68709,43467,Daytona Beach,FL
68337,41761,Dothan,AL
68770,47600,Eau Claire,WI
67635,66909,Rogers,AR
68181,46240,St. Cloud,MN
68316,47002,Bossier City,LA
68115,36942,Muncie,IN
66605,53884,West Des Moines,IA
67032,45070,Conway,AR
67655,52072,Mount Vernon,WA
67722,46499,Waterloo,IA
66257,53188,Alpharetta,GA
66695,43662,Yuba City,CA
66802,47974,Oshkosh,WI
66835,46748,Victoria,TX
66759,40256,Johnson City,TN
66001,43785,Ames,IA
66022,45070,North Little Rock,AR
65440,39094,Madera,CA
64860,42255,Youngstown,OH
65345,58443,Schenectady,NY
64996,28940,Harlingen,TX
64643,68277,Santa Cruz,CA
64483,44295,Janesville,WI
63835,52655,Cheyenne,WY
63131,45405,Grand Junction,CO
62023,46113,Idaho Falls,ID
62221,57374,Council Bluffs,NE
60107,43717,Sanford,FL
60274,37219,Ocala,FL
60775,37600,Terre Haute,IN
61826,63397,Petaluma,CA
59745,41075,Owensboro,KY
60101,40195,Bristol,TN
60040,43984,Utica,NY
57601,57104,Bradenton,FL
59856,39587,Vineland,NJ
58969,47070,Corvallis,OR
58751,47889,Great Falls,MT
57746,57104,Sarasota,FL
57533,44548,Richland,WA
57922,42140,Kokomo,IN
57515,71324,Casper,WY
57975,50120,Dubuque,IA
56971,36961,Hanford,CA
55982,38310,Pocatello,ID
56428,36438,Valdosta,GA
55020,33354,Lake Havasu City,AZ
56637,50258,Grand Forks,ND
55014,47801,Kettering,OH
54883,44269,Anderson,SC
53911,39940,Burlington,NC
54983,45181,Manhattan,KS
54889,44138,Port Arthur,TX
54006,40195,Kingsport,TN
54232,39917,Rocky Mount,NC
53875,68277,Watsonville,CA
53797,53770,Elyria,OH
53488,40328,Harrisonburg,VA
52637,43471,Pensacola,FL
52508,50469,Olympia,WA
50600,50469,Lacey,WA
51210,45409,Coeur d'Alene,ID
52373,46354,Elkhart,IN
51829,49054,Kentwood,MI
51334,39861,Logan,UT
51219,43859,Grand Island,NE
51491,50445,La Crosse,WI
51105,39160,Battle Creek,MI
49019,39645,West Lafayette,IN
50604,40320,Joplin,MO
49810,47300,Mishawaka,IN
49713,39937,Twin Falls,ID
49723,43667,Enid,OK
48310,39521,Saginaw,MI
